epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,243.988,1.38168,2.04564,0.01223,0.80061,0.40587,0.43673,0.24844,1.39381,1.60923,0.01528,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092,0.00999275,0.00333092
2,413.968,1.45616,1.35221,0.01311,0.80323,0.39698,0.43163,0.24075,1.45113,1.70195,0.01645,0.0197948,0.00659827,0.0197948,0.00659827,0.0197948,0.00659827,0.0197948,0.00659827
3,566.685,1.53099,1.47478,0.01424,0.72032,0.36037,0.36966,0.19677,1.50472,2.51386,0.01724,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963,0.0293989,0.00979963
4,712.255,1.61962,1.61813,0.0155,0.74794,0.35808,0.38653,0.20163,1.50636,1.82522,0.01776,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,855.002,1.63301,1.64234,0.01565,0.42722,0.44758,0.43004,0.22308,1.50611,1.75844,0.01729,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1001.13,1.63655,1.62407,0.01569,0.58287,0.42453,0.42724,0.22608,1.48726,1.93757,0.01686,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1146.59,1.63374,1.6309,0.01562,0.41999,0.44665,0.42939,0.23361,1.46156,1.83079,0.0167,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1290.65,1.63467,1.60312,0.01558,0.53873,0.49374,0.47916,0.2474,1.48008,1.72107,0.01709,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1436,1.6324,1.60683,0.01554,0.62866,0.425,0.47554,0.24795,1.45841,1.70333,0.0166,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1580.57,1.63787,1.57503,0.01556,0.56497,0.46064,0.46986,0.23792,1.4751,1.73069,0.01686,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1726.63,1.63297,1.58963,0.01569,0.68188,0.4563,0.52218,0.26583,1.44288,1.67322,0.0165,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1873.53,1.63044,1.58152,0.01552,0.58811,0.46707,0.50888,0.27686,1.42951,1.63033,0.01631,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2018.42,1.62354,1.57664,0.0155,0.77965,0.39967,0.51932,0.27741,1.42252,1.70728,0.01603,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2164.09,1.61658,1.56297,0.01544,0.53219,0.52221,0.53366,0.28168,1.44953,1.63828,0.01639,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2308.94,1.6237,1.55732,0.01532,0.62949,0.47641,0.5178,0.28347,1.40762,1.68351,0.01561,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2455.16,1.62212,1.55122,0.01523,0.60689,0.49235,0.51049,0.27757,1.41124,1.66917,0.01556,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2600.92,1.61581,1.53684,0.01536,0.59428,0.52942,0.53837,0.30777,1.40818,1.60847,0.01579,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
