epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,245.237,1.63324,3.94316,0.01549,0.46825,0.38648,0.37063,0.1845,1.4397,2.41842,0.0171,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091,0.00999272,0.00333091
2,418.478,1.71246,2.2929,0.01694,0.49765,0.40159,0.40192,0.19643,1.54481,2.26795,0.0189,0.0197948,0.00659826,0.0197948,0.00659826,0.0197948,0.00659826,0.0197948,0.00659826
3,573.129,1.80466,2.28581,0.01833,0.44405,0.38306,0.35509,0.15718,1.63375,2.65503,0.02081,0.0293989,0.00979962,0.0293989,0.00979962,0.0293989,0.00979962,0.0293989,0.00979962
4,719.585,1.84909,2.26153,0.01895,0.45981,0.41748,0.37041,0.16945,1.63842,2.57743,0.02085,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,866.629,1.82406,2.14522,0.01834,0.55514,0.45435,0.47937,0.22815,1.57222,2.07417,0.01902,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,1015.07,1.7972,2.06673,0.01799,0.54861,0.48735,0.49554,0.23869,1.56473,2.08013,0.01916,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,1166.04,1.77297,2.00556,0.0176,0.57148,0.48831,0.51692,0.25826,1.5215,2.02253,0.01808,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,1312.35,1.76035,1.9527,0.01746,0.59342,0.48225,0.51382,0.25942,1.51975,1.77216,0.01823,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,1458.61,1.76047,1.91109,0.01731,0.60026,0.50335,0.53026,0.27543,1.48571,1.9656,0.0175,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,1606.59,1.74198,1.89026,0.01707,0.59226,0.53205,0.55784,0.28496,1.50358,1.98332,0.01833,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,1755.43,1.72857,1.8687,0.01706,0.61749,0.52929,0.57198,0.30058,1.46427,1.75382,0.01714,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,1903.15,1.72468,1.82681,0.01682,0.62549,0.52705,0.57177,0.30732,1.45864,1.80179,0.01714,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,2049.47,1.72172,1.79988,0.01668,0.60968,0.55302,0.58995,0.31461,1.45766,1.9169,0.01671,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,2201.66,1.71475,1.78994,0.01654,0.64584,0.54351,0.59562,0.3209,1.45,1.73244,0.01672,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,2348.83,1.70867,1.76904,0.01664,0.63453,0.54114,0.58972,0.3227,1.43735,1.70606,0.01639,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,2497.88,1.69893,1.76404,0.01647,0.63826,0.55859,0.607,0.33181,1.43403,1.67839,0.01655,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2647.62,1.69885,1.72675,0.01644,0.65352,0.57136,0.61811,0.34049,1.41186,1.69463,0.01621,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,2794.63,1.68303,1.73055,0.01634,0.64727,0.56896,0.61557,0.34335,1.40349,1.66316,0.01621,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,2943.9,1.68314,1.71429,0.01618,0.66603,0.54169,0.60803,0.33833,1.39169,1.74227,0.01594,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,3091.38,1.68124,1.70085,0.01612,0.67066,0.57912,0.63359,0.35454,1.39468,1.6497,0.01581,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,3236.41,1.67298,1.689,0.01607,0.681,0.57263,0.63857,0.35936,1.4043,1.56742,0.01602,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,3387.22,1.66895,1.69477,0.01605,0.67477,0.57357,0.6403,0.36161,1.37976,1.65113,0.01553,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,3532.73,1.65646,1.66738,0.01595,0.67673,0.57743,0.64659,0.36518,1.37811,1.58238,0.0155,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,3677.58,1.6579,1.64713,0.01578,0.68765,0.57349,0.63942,0.36319,1.38718,1.61103,0.01577,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,3821.68,1.66513,1.66641,0.01594,0.67417,0.58579,0.65184,0.36746,1.37986,1.58315,0.01564,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,3969.43,1.65523,1.65742,0.01567,0.68047,0.58018,0.64725,0.36527,1.38102,1.55175,0.01564,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,4116.31,1.64907,1.63884,0.01561,0.68291,0.59498,0.65871,0.3737,1.38511,1.5865,0.01582,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,4265.27,1.64829,1.62575,0.01578,0.68261,0.58668,0.65331,0.37291,1.37352,1.62488,0.01534,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,4410.98,1.64318,1.61194,0.01567,0.68165,0.59166,0.65481,0.37799,1.3688,1.62132,0.01523,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,4559.34,1.64376,1.60477,0.01571,0.69413,0.58949,0.65763,0.38096,1.36883,1.61801,0.01523,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,4706.37,1.63763,1.60295,0.01574,0.70999,0.57361,0.65967,0.38162,1.37018,1.5658,0.01535,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,4853.25,1.62927,1.58409,0.01553,0.69956,0.58917,0.66258,0.38252,1.37411,1.58271,0.01526,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,5001.72,1.62843,1.57995,0.01542,0.67935,0.6033,0.66576,0.38474,1.37146,1.5634,0.01516,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,5149.38,1.62557,1.58769,0.01538,0.69819,0.59806,0.66581,0.38673,1.35745,1.57929,0.0151,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,5296.94,1.62034,1.57787,0.01537,0.69861,0.59561,0.66769,0.39029,1.35249,1.59599,0.015,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,5444.74,1.62661,1.56676,0.0153,0.70173,0.59831,0.66655,0.3898,1.34497,1.62388,0.01491,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,5590.78,1.6226,1.53832,0.01545,0.70408,0.59892,0.66853,0.39137,1.35299,1.61361,0.015,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,5735.16,1.61679,1.5411,0.01527,0.69693,0.60353,0.66943,0.39227,1.34722,1.60698,0.01492,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
39,5879.04,1.61197,1.5357,0.01513,0.70799,0.60202,0.67211,0.39324,1.34775,1.58999,0.01489,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
40,6023.34,1.61816,1.53236,0.01511,0.70984,0.6023,0.67271,0.39533,1.34925,1.56823,0.01492,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
41,6169.47,1.61073,1.50805,0.01509,0.70278,0.60756,0.67244,0.3951,1.34797,1.56418,0.01494,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
